County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,Suspected COVID-19 Positive Patients,ICU COVID-19 Positive Patients,ICU COVID-19 Suspected Patients
Merced,04/22/2020,92,3,3,3,0,0
Modoc,04/22/2020,0,0,0,0,0,0
Mono,04/22/2020,23,1,0,0,0,0
Monterey,04/22/2020,154,4,6,3,2,1
Napa,04/22/2020,58,2,1,2,1,0
Nevada,04/22/2020,36,1,1,0,1,0
Orange,04/22/2020,1785,34,172,111,73,21
Placer,04/22/2020,133,8,5,20,1,1
Plumas,04/22/2020,4,0,0,0,0,0
Riverside,04/22/2020,2822,109,229,127,84,25
Sacramento,04/22/2020,959,36,47,23,18,5
San Benito,04/22/2020,43,2,0,0,0,0
San Bernardino,04/22/2020,1564,72,149,201,54,32
San Diego,04/22/2020,2493,112,241,77,104,21
San Francisco,04/22/2020,1255,21,75,17,28,3
San Joaquin,04/22/2020,462,20,29,28,14,4
San Luis Obispo,04/22/2020,142,1,1,7,1,3
San Mateo,04/22/2020,945,39,50,17,15,2
Santa Barbara,04/22/2020,437,5,25,9,13,3
Santa Clara,04/22/2020,1969,94,137,39,68,9
Santa Cruz,04/22/2020,106,2,3,4,1,1
Shasta,04/22/2020,26,3,1,0,1,0
Sierra,04/22/2020,0,0,0,0,0,0
Siskiyou,04/22/2020,5,0,0,1,0,1
Solano,04/22/2020,195,3,10,18,2,2
Sonoma,04/22/2020,185,2,3,16,0,7
Stanislaus,04/22/2020,247,5,13,20,5,6
Sutter,04/22/2020,22,2,0,0,0,0
Tehama,04/22/2020,1,1,0,0,0,0
Trinity,04/22/2020,0,0,0,0,0,0
Tulare,04/22/2020,425,25,27,0,9,0
Tuolumne,04/22/2020,2,0,0,1,0,0
Unassigned,04/22/2020,3,0,0,0,0,0
Ventura,04/22/2020,465,14,27,30,8,9
Yolo,04/22/2020,147,12,4,0,1,0
Yuba,04/22/2020,15,1,0,0,0,0
Alameda,04/23/2020,1336,56,81,90,37,24
Alpine,04/23/2020,1,0,0,0,0,0
Amador,04/23/2020,8,0,0,1,0,0
Butte,04/23/2020,15,0,0,0,0,1
Calaveras,04/23/2020,12,0,0,1,0,1
Colusa,04/23/2020,3,0,1,0,1,0
Contra Costa,04/23/2020,786,23,31,51,13,13
Del Norte,04/23/2020,2,0,0,6,0,3
El Dorado,04/23/2020,39,0,0,8,0,1
Fresno,04/23/2020,426,7,39,39,16,4
Glenn,04/23/2020,3,0,0,0,0,0
Humboldt,04/23/2020,53,0,0,7,0,1
Imperial,04/23/2020,181,8,23,4,9,0
Inyo,04/23/2020,19,0,1,0,1,0
Kern,04/23/2020,732,4,30,11,16,1
Kings,04/23/2020,28,1,9,0,3,0
Lake,04/23/2020,6,0,0,1,0,0
Lassen,04/23/2020,0,0,0,0,0,0
Los Angeles,04/23/2020,17548,797,1863,595,600,118
Madera,04/23/2020,37,2,0,3,0,1
Marin,04/23/2020,209,11,3,14,2,4
Mariposa,04/23/2020,0,0,0,1,0,0
Mendocino,04/23/2020,5,0,0,1,0,1
Merced,04/23/2020,98,3,0,2,0,0
Modoc,04/23/2020,0,0,0,0,0,0
Mono,04/23/2020,23,1,0,0,0,0
Monterey,04/23/2020,161,4,6,6,4,1
Napa,04/23/2020,59,2,1,1,1,0
Nevada,04/23/2020,36,1,1,3,0,1
Orange,04/23/2020,1841,36,170,143,75,25
Placer,04/23/2020,136,8,4,21,1,1
Plumas,04/23/2020,4,0,0,0,0,0
Riverside,04/23/2020,2935,110,222,118,83,24
Sacramento,04/23/2020,978,41,48,40,17,7
San Benito,04/23/2020,43,2,0,0,0,0
San Bernardino,04/23/2020,1604,77,146,94,54,19
San Diego,04/23/2020,2645,112,253,65,105,12
San Francisco,04/23/2020,1312,21,75,29,31,6
San Joaquin,04/23/2020,479,22,31,34,15,6
San Luis Obispo,04/23/2020,146,1,1,4,1,1
San Mateo,04/23/2020,970,39,53,19,16,1
Santa Barbara,04/23/2020,445,5,24,16,13,4
Santa Clara,04/23/2020,1996,95,137,28,67,5
Santa Cruz,04/23/2020,110,2,3,3,1,0
Shasta,04/23/2020,27,3,1,0,1,0
Sierra,04/23/2020,0,0,0,0,0,0
Siskiyou,04/23/2020,5,0,0,1,0,1
Solano,04/23/2020,196,4,11,15,5,4
Sonoma,04/23/2020,187,2,3,17,0,5
Stanislaus,04/23/2020,254,5,14,17,6,2
Sutter,04/23/2020,24,2,0,0,0,0
Tehama,04/23/2020,1,1,0,0,0,0
Trinity,04/23/2020,0,0,0,0,0,0
Tulare,04/23/2020,440,25,30,1,11,0
Tuolumne,04/23/2020,2,0,0,0,0,0
Unassigned,04/23/2020,3,0,0,0,0,0
Ventura,04/23/2020,479,16,25,24,10,5
Yolo,04/23/2020,151,12,4,0,1,0
Yuba,04/23/2020,15,1,0,2,0,2
Alameda,04/24/2020,1385,56,79,63,39,10
Alpine,04/24/2020,1,0,0,0,0,0
Amador,04/24/2020,8,0,0,1,0,0
Butte,04/24/2020,15,0,0,4,0,3
Calaveras,04/24/2020,12,0,0,2,0,1
Colusa,04/24/2020,3,0,1,0,1,0
Contra Costa,04/24/2020,806,23,29,54,12,11
Del Norte,04/24/2020,2,0,0,4,0,0
El Dorado,04/24/2020,41,0,0,7,0,3
Fresno,04/24/2020,449,7,41,37,19,1
Glenn,04/24/2020,4,0,0,0,0,0
Humboldt,04/24/2020,53,0,1,4,0,1
Imperial,04/24/2020,232,8,24,10,8,1
Inyo,04/24/2020,20,1,1,3,1,0
Kern,04/24/2020,770,4,30,17,16,1
Kings,04/24/2020,30,1,9,0,2,0
Lake,04/24/2020,6,0,0,1,0,1
Lassen,04/24/2020,0,0,0,0,0,0
Los Angeles,04/24/2020,18553,848,1860,546,600,87
Madera,04/24/2020,39,2,0,4,0,0
Marin,04/24/2020,211,11,2,11,2,2
Mariposa,04/24/2020,0,0,0,0,0,0
Mendocino,04/24/2020,5,0,0,1,0,0
Merced,04/24/2020,102,3,0,5,0,1
Modoc,04/24/2020,0,0,0,0,0,0
Mono,04/24/2020,23,1,0,0,0,0
Monterey,04/24/2020,167,4,5,8,4,1
Napa,04/24/2020,59,2,1,0,1,0
Nevada,04/24/2020,36,1,1,4,0,2
Orange,04/24/2020,1945,39,175,138,68,24
Placer,04/24/2020,137,8,4,18,0,2
Plumas,04/24/2020,4,0,0,0,0,0
Riverside,04/24/2020,3044,118,223,120,82,26
Sacramento,04/24/2020,1009,41,53,37,17,11
San Benito,04/24/2020,45,2,0,0,0,0
San Bernardino,04/24/2020,1667,80,152,101,57,16
San Diego,04/24/2020,2828,119,257,78,107,13
San Francisco,04/24/2020,1345,22,75,19,30,5
San Joaquin,04/24/2020,484,24,29,20,12,4
San Luis Obispo,04/24/2020,151,1,1,8,1,5
San Mateo,04/24/2020,1004,43,49,16,16,4
Santa Barbara,04/24/2020,450,6,21,11,12,5
Santa Clara,04/24/2020,2026,98,129,34,60,5
Santa Cruz,04/24/2020,111,2,4,1,2,0
Shasta,04/24/2020,28,4,1,0,1,0
Sierra,04/24/2020,0,0,0,0,0,0
Siskiyou,04/24/2020,5,0,0,0,0,0
Solano,04/24/2020,203,4,10,16,4,3
Sonoma,04/24/2020,199,2,3,20,0,3
Stanislaus,04/24/2020,273,5,12,15,6,2
Sutter,04/24/2020,24,2,0,0,0,0
Tehama,04/24/2020,1,1,0,1,0,1
Trinity,04/24/2020,0,0,0,0,0,0
Tulare,04/24/2020,459,28,33,0,11,0
Tuolumne,04/24/2020,2,0,0,0,0,0
Unassigned,04/24/2020,2,0,0,0,0,0
Ventura,04/24/2020,489,16,24,63,6,3
Yolo,04/24/2020,155,13,4,0,1,0
Yuba,04/24/2020,15,1,0,2,0,2
Alameda,04/25/2020,1396,56,83,53,39,6
Alpine,04/25/2020,1,0,0,0,0,0
Amador,04/25/2020,8,0,0,1,0,1
Butte,04/25/2020,16,0,0,3,0,0
Calaveras,04/25/2020,12,0,0,1,0,0
Colusa,04/25/2020,3,0,1,1,1,1
Contra Costa,04/25/2020,821,25,25,53,10,6
Del Norte,04/25/2020,2,0,0,4,0,0
El Dorado,04/25/2020,41,0,1,7,0,2
Fresno,04/25/2020,459,7,41,45,19,2
Glenn,04/25/2020,4,0,0,0,0,0
Humboldt,04/25/2020,53,0,0,3,0,0
Imperial,04/25/2020,232,8,24,8,8,1
Inyo,04/25/2020,20,1,0,3,0,0
Kern,04/25/2020,802,4,29,18,22,3
Kings,04/25/2020,33,1,6,0,2,0
Lake,04/25/2020,6,0,0,2,0,0
Lassen,04/25/2020,0,0,0,0,0,0
Los Angeles,04/25/2020,19144,895,1845,572,579,99
Madera,04/25/2020,39,2,0,2,0,1
Marin,04/25/2020,215,12,2,13,2,3
Mariposa,04/25/2020,0,0,0,0,0,0
Mendocino,04/25/2020,5,0,0,0,0,0
Merced,04/25/2020,103,3,0,3,0,1
Modoc,04/25/2020,0,0,0,0,0,0
Mono,04/25/2020,23,1,0,0,0,0
Monterey,04/25/2020,173,4,5,9,3,0
Napa,04/25/2020,60,2,1,1,1,1
Nevada,04/25/2020,37,1,1,3,0,2
Orange,04/25/2020,2047,39,177,133,74,21
Placer,04/25/2020,137,8,4,30,0,3
Plumas,04/25/2020,4,0,0,0,0,0
Riverside,04/25/2020,3037,118,218,138,81,30
Sacramento,04/25/2020,1015,41,53,46,20,14
San Benito,04/25/2020,45,2,0,0,0,0
San Bernardino,04/25/2020,1675,82,147,101,53,14
San Diego,04/25/2020,2945,119,268,96,110,19
San Francisco,04/25/2020,1341,22,73,18,29,3
San Joaquin,04/25/2020,497,25,27,20,12,5
San Luis Obispo,04/25/2020,159,1,1,4,1,1
San Mateo,04/25/2020,1054,43,47,27,15,11
Santa Barbara,04/25/2020,457,7,23,12,16,4
Santa Clara,04/25/2020,2045,99,125,47,62,15
Santa Cruz,04/25/2020,112,2,4,4,2,3
Shasta,04/25/2020,29,4,1,0,1,0
Sierra,04/25/2020,0,0,0,0,0,0
Siskiyou,04/25/2020,5,0,0,1,0,0
Solano,04/25/2020,203,4,10,16,3,4
Sonoma,04/25/2020,199,2,3,9,0,0
Stanislaus,04/25/2020,276,5,21,23,5,1
Sutter,04/25/2020,24,2,0,0,0,0
Tehama,04/25/2020,1,1,0,1,0,1
Trinity,04/25/2020,0,0,0,0,0,0
Tulare,04/25/2020,478,32,26,0,7,0
Tuolumne,04/25/2020,2,0,0,0,0,0
Unassigned,04/25/2020,3,0,0,0,0,0
Ventura,04/25/2020,494,16,27,71,6,9
Yolo,04/25/2020,157,13,5,0,1,0
Yuba,04/25/2020,15,1,0,2,0,2
Alameda,04/26/2020,1449,56,84,43,42,5
Alpine,04/26/2020,1,0,0,0,0,0
Amador,04/26/2020,8,0,0,0,0,0
Butte,04/26/2020,16,0,0,0,0,0
Calaveras,04/26/2020,13,0,0,0,0,0
Colusa,04/26/2020,3,0,1,1,1,1
Contra Costa,04/26/2020,830,25,27,42,9,9
Del Norte,04/26/2020,3,0,0,2,0,1
El Dorado,04/26/2020,41,0,1,8,0,3
Fresno,04/26/2020,476,7,37,44,18,9
Glenn,04/26/2020,4,0,0,0,0,0
Humboldt,04/26/2020,53,0,0,0,0,0
Imperial,04/26/2020,272,8,26,12,8,2
Inyo,04/26/2020,20,1,0,0,0,0
Kern,04/26/2020,831,5,29,15,23,0
Kings,04/26/2020,33,1,9,0,2,0
Lake,04/26/2020,6,0,0,1,0,0
Lassen,04/26/2020,0,0,0,0,0,0
Los Angeles,04/26/2020,19570,913,1887,575,588,122
Madera,04/26/2020,39,2,0,1,0,0
Marin,04/26/2020,225,12,3,7,2,3
Mariposa,04/26/2020,0,0,0,0,0,0
Mendocino,04/26/2020,5,0,0,0,0,0
Merced,04/26/2020,104,3,0,4,0,2
Modoc,04/26/2020,0,0,0,0,0,0
Mono,04/26/2020,23,1,0,0,0,0
Monterey,04/26/2020,182,4,5,5,3,2
Napa,04/26/2020,62,2,1,0,1,0
Nevada,04/26/2020,37,1,1,2,0,2
Orange,04/26/2020,2124,40,180,109,73,23
Placer,04/26/2020,141,8,4,21,1,5
Plumas,04/26/2020,4,0,0,0,0,0
Riverside,04/26/2020,3301,131,215,152,75,35
Sacramento,04/26/2020,1027,41,48,40,16,6
San Benito,04/26/2020,45,2,0,0,0,0
San Bernardino,04/26/2020,1681,82,146,83,50,20
San Diego,04/26/2020,3045,123,273,90,114,21
San Francisco,04/26/2020,1403,23,79,21,31,3
San Joaquin,04/26/2020,514,25,24,19,9,4
San Luis Obispo,04/26/2020,165,1,1,3,1,2
San Mateo,04/26/2020,1070,46,53,10,18,2
Santa Barbara,04/26/2020,464,7,24,13,12,4
Santa Clara,04/26/2020,2097,102,118,64,60,17
Santa Cruz,04/26/2020,116,2,4,1,2,0
Shasta,04/26/2020,29,4,1,0,1,0
Sierra,04/26/2020,0,0,0,0,0,0
Siskiyou,04/26/2020,5,0,0,0,0,0
Solano,04/26/2020,205,4,8,14,3,1
Sonoma,04/26/2020,216,2,1,9,0,1
Stanislaus,04/26/2020,294,5,28,19,7,4
Sutter,04/26/2020,26,2,0,0,0,0
Tehama,04/26/2020,1,1,0,0,0,0
Trinity,04/26/2020,0,0,0,0,0,0
Tulare,04/26/2020,497,32,26,0,8,0
Tuolumne,04/26/2020,3,0,0,0,0,0
Unassigned,04/26/2020,3,0,0,0,0,0
Ventura,04/26/2020,509,17,27,73,6,3
Yolo,04/26/2020,158,13,1,1,1,1
Yuba,04/26/2020,15,1,0,2,0,1
